creationDate|Person.id|University.id|classYear
2011-07-26T21:41:34.142+00:00|19791209299968|3011|2005
2012-01-02T01:21:20.107+00:00|24189255811104|5047|2000
2012-01-13T23:46:22.926+00:00|26388279066650|3008|2005
2010-01-19T13:51:10.863+00:00|27|5804|2007
2012-06-26T12:37:35.179+00:00|30786325577740|2435|2008
2012-03-13T15:16:08.597+00:00|28587302322196|5036|2007
2010-04-18T01:27:21.494+00:00|2199023255573|5263|2007
2011-03-07T01:25:47.322+00:00|15393162788910|5038|2007
2011-02-28T08:13:29.086+00:00|13194139533343|2832|2000
2012-01-10T19:44:54.406+00:00|26388279066632|1580|2005
2011-04-14T02:38:49.734+00:00|15393162788912|5189|2006
2010-01-19T23:03:07.674+00:00|33|1596|2003
2012-09-05T01:03:26.184+00:00|32985348833291|2211|2001
2012-03-30T10:11:12.788+00:00|28587302322180|7936|2005
2010-03-24T18:14:04.882+00:00|2199023255557|1953|2008
2010-12-24T05:25:34.086+00:00|10995116277782|4742|2007
2010-01-03T15:10:31.499+00:00|14|4593|2004
2011-10-06T01:23:31.981+00:00|21990232555526|2209|2007
2011-10-17T04:08:45.182+00:00|21990232555527|2208|2005
2012-08-08T07:53:28.961+00:00|32985348833319|5985|2006
2010-11-21T16:16:26.476+00:00|10995116277783|6797|2008
2010-01-31T13:13:03.929+00:00|16|5809|2004
2012-02-20T19:43:50.441+00:00|26388279066664|1856|2006
2011-11-27T01:08:31.517+00:00|24189255811121|3008|2001
2012-01-12T23:55:02.878+00:00|26388279066641|5142|2001
2010-11-13T15:50:09.443+00:00|10995116277761|2945|2004
2011-08-22T08:51:56.139+00:00|19791209300009|3010|2008
2011-08-21T06:11:15.212+00:00|19791209300010|1597|2000
2011-04-14T16:09:20.493+00:00|15393162788899|4929|2010
2012-07-03T00:55:16.938+00:00|30786325577731|5986|2003
2010-08-31T00:24:34.501+00:00|6597069766699|3014|2009
2011-08-04T04:47:58.173+00:00|19791209299987|7953|2005
2011-03-12T15:40:42.861+00:00|15393162788877|6612|2008
2010-07-11T03:44:38.819+00:00|6597069766701|5236|2008
2010-01-09T18:37:17.970+00:00|47|6346|2002
2012-03-19T21:30:34.350+00:00|28587302322191|2208|1999
