creationDate|Comment.id|Place.id
2012-08-31T18:38:32.626+00:00|1030792151558|92
2012-08-31T23:27:00.209+00:00|1030792151559|0
2012-08-31T18:39:11.525+00:00|1030792151560|92
2012-09-01T02:55:46.226+00:00|1030792151561|4
2012-08-31T19:49:53.471+00:00|1030792151562|4
2012-08-31T18:38:37.626+00:00|1030792151563|100
2012-08-31T18:24:12.597+00:00|1030792151564|56
2012-09-01T05:38:14.053+00:00|1030792151565|60
2012-09-01T01:21:29.766+00:00|1030792151566|50
2012-09-01T02:52:25.067+00:00|1030792151567|92
2012-09-01T19:51:46.211+00:00|1030792151568|50
2012-09-01T03:50:42.987+00:00|1030792151569|92
2012-09-01T03:26:27.372+00:00|1030792151570|92
2012-09-01T05:14:23.908+00:00|1030792151571|35
2012-09-01T09:27:39.890+00:00|1030792151572|56
2012-08-31T19:49:31.833+00:00|1030792151573|4
2012-08-24T03:15:25.844+00:00|1030792151575|50
2012-08-23T20:07:21.673+00:00|1030792151576|0
2012-08-24T06:41:28.565+00:00|1030792151577|0
2012-08-24T01:58:15.724+00:00|1030792151578|4
2012-08-24T01:31:29.809+00:00|1030792151579|50
2012-08-24T03:24:44.156+00:00|1030792151580|50
2012-08-24T18:58:25.568+00:00|1030792151581|56
2012-08-24T04:02:12.409+00:00|1030792151582|86
2012-08-24T02:43:46.463+00:00|1030792151583|100
2012-08-24T01:07:28.554+00:00|1030792151584|100
2012-08-23T20:11:15.472+00:00|1030792151585|50
2012-08-24T01:01:20.647+00:00|1030792151586|94
2012-08-24T08:55:10.479+00:00|1030792151587|86
2012-08-24T19:31:33.183+00:00|1030792151588|50
2012-08-24T18:56:11.105+00:00|1030792151589|92
2012-08-24T17:51:22.208+00:00|1030792151590|49
2012-07-02T06:07:53.870+00:00|962072674856|100
2012-07-02T07:41:27.242+00:00|962072674857|50
2012-07-02T07:16:40.537+00:00|962072674858|46
2012-07-02T11:10:43.970+00:00|962072674859|100
2012-07-02T09:01:05.378+00:00|962072674860|100
2012-07-02T12:38:06.559+00:00|962072674861|50
2012-07-02T18:16:03.788+00:00|962072674862|86
2012-07-03T05:17:34.327+00:00|962072674863|56
2012-07-02T12:31:10.643+00:00|962072674864|100
2012-07-02T13:36:11.868+00:00|962072674865|50
2012-07-02T10:51:22.214+00:00|962072674866|86
2012-07-02T13:03:11.796+00:00|962072674867|86
2012-07-02T12:41:21.337+00:00|962072674868|86
2012-07-02T16:06:15.048+00:00|962072674869|86
2012-07-02T10:51:35.445+00:00|962072674870|56
2012-07-02T14:56:35.073+00:00|962072674871|100
2012-07-17T13:12:12.393+00:00|1030792152545|50
2012-07-17T22:31:55.230+00:00|1030792152546|60
2012-07-17T08:01:45.397+00:00|1030792152547|60
2012-07-17T08:10:06.278+00:00|1030792152548|60
2012-07-17T14:30:55.882+00:00|1030792152549|60
2012-07-17T09:51:14.006+00:00|1030792152550|60
2011-10-17T02:14:14.265+00:00|687194768872|92
2011-10-17T01:24:58.082+00:00|687194768873|9
2011-10-16T09:09:27.922+00:00|687194768874|92
2011-10-16T22:31:30.894+00:00|687194768875|92
2011-10-17T08:02:05.520+00:00|687194768876|92
2011-10-17T08:12:14.191+00:00|687194768877|92
2011-10-17T01:15:59.726+00:00|687194768878|92
2011-10-16T13:38:30.925+00:00|687194768879|92
2011-10-16T11:10:52.560+00:00|687194768880|92
2011-10-17T00:03:59.510+00:00|687194768881|92
2011-10-17T07:53:03.867+00:00|687194768882|92
2011-10-17T03:50:42.314+00:00|687194768883|92
2012-07-08T10:31:04.085+00:00|962072675837|0
2012-07-08T05:19:26.196+00:00|962072675838|65
2012-07-08T23:10:04.531+00:00|962072675839|101
2012-07-08T23:13:04.167+00:00|962072675840|0
2012-07-08T23:32:02.335+00:00|962072675841|1
2012-07-08T07:00:59.031+00:00|962072675842|101
2012-07-08T04:26:37.116+00:00|962072675843|0
2012-07-08T23:30:16.541+00:00|962072675844|1
2012-08-28T13:00:34.388+00:00|1030792152582|1
2012-08-29T08:05:09.022+00:00|1030792152583|65
2012-08-29T00:33:11.440+00:00|1030792152584|0
2012-08-28T16:44:21.457+00:00|1030792152585|1
2012-08-29T08:09:45.050+00:00|1030792152586|1
2012-08-28T20:18:28.234+00:00|1030792152587|48
2012-08-28T15:52:49.741+00:00|1030792152588|65
2012-08-28T21:05:19.493+00:00|1030792152589|56
2012-06-13T00:29:22.075+00:00|962072675857|1
2012-06-13T09:25:02.269+00:00|962072675858|65
2012-06-14T01:26:08.098+00:00|962072675859|101
2012-06-12T14:33:27.658+00:00|962072675860|1
2012-06-13T13:55:21.067+00:00|962072675861|1
2012-06-13T10:22:16.756+00:00|962072675862|65
2012-06-13T14:28:19.627+00:00|962072675863|88
2012-06-13T14:21:23.379+00:00|962072675864|0
2012-08-24T09:05:53.665+00:00|1030792152798|53
2012-08-24T11:43:40.327+00:00|1030792152799|86
2012-08-25T05:44:44.723+00:00|1030792152800|110
2012-08-24T09:08:32.402+00:00|1030792152801|110
2012-08-24T14:20:12.562+00:00|1030792152802|86
2012-08-24T17:11:17.013+00:00|1030792152803|86
2012-08-24T20:29:21.604+00:00|1030792152804|110
2012-08-24T21:12:08.146+00:00|1030792152805|60
2012-08-25T01:25:44.243+00:00|1030792152806|110
2012-08-24T22:44:48.199+00:00|1030792152807|110
2012-08-24T09:06:03.680+00:00|1030792152808|53
2012-08-24T09:14:42.301+00:00|1030792152809|53
2012-08-24T23:34:20.799+00:00|1030792152810|86
2012-08-24T09:08:28.987+00:00|1030792152811|52
2012-08-24T15:12:57.692+00:00|1030792152812|60
2012-08-24T09:29:05.710+00:00|1030792152813|52
2011-08-18T15:52:48.040+00:00|618475292938|65
2011-08-18T23:38:11.907+00:00|618475292939|65
2011-08-19T22:57:56.642+00:00|618475292940|65
2011-08-19T15:39:17.352+00:00|618475292941|65
2011-08-20T09:30:59.863+00:00|618475292942|65
2011-08-19T05:32:09.992+00:00|618475292943|65
2011-11-13T05:59:03.890+00:00|755914246417|65
2011-11-13T04:12:01.552+00:00|755914246418|65
2011-11-13T01:21:25.775+00:00|755914246419|65
2011-11-13T01:24:55.256+00:00|755914246420|65
2011-11-13T15:46:58.102+00:00|755914246421|65
2011-11-14T09:29:58.686+00:00|755914246422|65
2012-07-17T03:12:39.294+00:00|1030792153368|54
2012-07-17T02:04:56.580+00:00|1030792153369|0
2012-07-17T15:27:26.998+00:00|1030792153370|54
2012-07-17T20:05:13.879+00:00|1030792153371|65
