creationDate|Person.id|language
2011-07-26T21:41:34.142+00:00|19791209299968|te
2011-07-26T21:41:34.142+00:00|19791209299968|ur
2011-07-26T21:41:34.142+00:00|19791209299968|en
2012-01-02T01:21:20.107+00:00|24189255811104|es
2012-01-02T01:21:20.107+00:00|24189255811104|en
2011-12-29T07:56:39.032+00:00|24189255811081|az
2011-12-29T07:56:39.032+00:00|24189255811081|ru
2011-12-29T07:56:39.032+00:00|24189255811081|en
2012-01-13T23:46:22.926+00:00|26388279066650|mr
2012-01-13T23:46:22.926+00:00|26388279066650|kn
2012-01-13T23:46:22.926+00:00|26388279066650|en
2010-01-19T13:51:10.863+00:00|27|pl
2010-01-19T13:51:10.863+00:00|27|en
2012-06-26T12:37:35.179+00:00|30786325577740|es
2012-06-26T12:37:35.179+00:00|30786325577740|en
2012-03-13T15:16:08.597+00:00|28587302322196|ar
2012-03-13T15:16:08.597+00:00|28587302322196|wo
2012-03-13T15:16:08.597+00:00|28587302322196|en
2011-07-19T06:51:09.287+00:00|19791209299997|zh
2011-07-19T06:51:09.287+00:00|19791209299997|en
2010-04-18T01:27:21.494+00:00|2199023255573|ur
2010-04-18T01:27:21.494+00:00|2199023255573|en
2011-03-07T01:25:47.322+00:00|15393162788910|es
2011-03-07T01:25:47.322+00:00|15393162788910|en
2011-02-28T08:13:29.086+00:00|13194139533343|de
2011-02-28T08:13:29.086+00:00|13194139533343|en
2012-01-10T19:44:54.406+00:00|26388279066632|tk
2012-01-10T19:44:54.406+00:00|26388279066632|en
2011-04-14T02:38:49.734+00:00|15393162788912|nl
2011-04-14T02:38:49.734+00:00|15393162788912|en
2010-01-19T23:03:07.674+00:00|33|ar
2010-01-19T23:03:07.674+00:00|33|fr
2010-01-19T23:03:07.674+00:00|33|en
2012-09-05T01:03:26.184+00:00|32985348833291|zh
2012-09-05T01:03:26.184+00:00|32985348833291|en
2012-03-30T10:11:12.788+00:00|28587302322180|en
2012-03-30T10:11:12.788+00:00|28587302322180|cy
2010-06-22T21:48:51.442+00:00|4398046511148|ru
2010-06-22T21:48:51.442+00:00|4398046511148|en
2010-03-24T18:14:04.882+00:00|2199023255557|my
2010-03-24T18:14:04.882+00:00|2199023255557|en
2010-12-24T05:25:34.086+00:00|10995116277782|ja
2010-12-24T05:25:34.086+00:00|10995116277782|en
2010-01-03T15:10:31.499+00:00|14|fa
2010-01-03T15:10:31.499+00:00|14|ku
2010-01-03T15:10:31.499+00:00|14|en
2011-10-06T01:23:31.981+00:00|21990232555526|zh
2011-10-06T01:23:31.981+00:00|21990232555526|en
2010-10-28T05:49:29.470+00:00|8796093022238|sv
2010-10-28T05:49:29.470+00:00|8796093022238|fi
2010-10-28T05:49:29.470+00:00|8796093022238|en
2011-10-17T04:08:45.182+00:00|21990232555527|zh
2011-10-17T04:08:45.182+00:00|21990232555527|en
2012-08-08T07:53:28.961+00:00|32985348833319|ru
2012-08-08T07:53:28.961+00:00|32985348833319|en
2010-11-21T16:16:26.476+00:00|10995116277783|en
2010-01-31T13:13:03.929+00:00|16|pl
2010-01-31T13:13:03.929+00:00|16|en
2012-02-20T19:43:50.441+00:00|26388279066664|pt
2012-02-20T19:43:50.441+00:00|26388279066664|en
2011-11-27T01:08:31.517+00:00|24189255811121|mr
2011-11-27T01:08:31.517+00:00|24189255811121|ta
2011-11-27T01:08:31.517+00:00|24189255811121|en
2012-01-12T23:55:02.878+00:00|26388279066641|ru
2012-01-12T23:55:02.878+00:00|26388279066641|en
2010-11-13T15:50:09.443+00:00|10995116277761|en
2010-11-13T15:50:09.443+00:00|10995116277761|fr
2011-08-22T08:51:56.139+00:00|19791209300009|gu
2011-08-22T08:51:56.139+00:00|19791209300009|mr
2011-08-22T08:51:56.139+00:00|19791209300009|en
2011-08-21T06:11:15.212+00:00|19791209300010|ar
2011-08-21T06:11:15.212+00:00|19791209300010|fr
2011-08-21T06:11:15.212+00:00|19791209300010|en
2012-03-17T04:45:49.301+00:00|28587302322210|es
2012-03-17T04:45:49.301+00:00|28587302322210|en
2011-04-14T16:09:20.493+00:00|15393162788899|ur
2011-04-14T16:09:20.493+00:00|15393162788899|en
2012-07-03T00:55:16.938+00:00|30786325577731|ru
2012-07-03T00:55:16.938+00:00|30786325577731|en
2010-08-31T00:24:34.501+00:00|6597069766699|ml
2010-08-31T00:24:34.501+00:00|6597069766699|mr
2010-08-31T00:24:34.501+00:00|6597069766699|en
2011-08-04T04:47:58.173+00:00|19791209299987|en
2011-08-04T04:47:58.173+00:00|19791209299987|to
2011-03-12T15:40:42.861+00:00|15393162788877|tr
2011-03-12T15:40:42.861+00:00|15393162788877|en
2010-07-11T03:44:38.819+00:00|6597069766701|fr
2010-07-11T03:44:38.819+00:00|6597069766701|ha
2010-07-11T03:44:38.819+00:00|6597069766701|en
2010-01-09T18:37:17.970+00:00|47|ta
2010-01-09T18:37:17.970+00:00|47|si
2010-01-09T18:37:17.970+00:00|47|en
2012-03-19T21:30:34.350+00:00|28587302322191|zh
2012-03-19T21:30:34.350+00:00|28587302322191|en
