creationDate|Person1.id|Person2.id
2011-10-29T23:05:04.695+00:00|19791209299968|19791209300009
2012-03-30T16:39:23.494+00:00|19791209299968|24189255811081
2012-05-09T18:48:54.012+00:00|24189255811104|26388279066664
2012-08-21T17:51:58.051+00:00|24189255811081|28587302322180
2012-07-14T05:38:41.120+00:00|24189255811081|28587302322196
2011-07-09T04:07:10.661+00:00|27|10995116277761
2012-08-18T19:04:51.772+00:00|27|28587302322180
2012-04-30T23:25:43.415+00:00|19791209299997|24189255811081
2012-03-12T21:28:57.450+00:00|2199023255573|6597069766699
2012-08-15T10:04:39.219+00:00|15393162788910|28587302322210
2012-04-25T09:34:19.949+00:00|13194139533343|28587302322180
2012-08-12T07:54:27.028+00:00|13194139533343|28587302322210
2012-07-27T13:39:39.803+00:00|28587302322180|30786325577731
2012-01-10T07:30:05.303+00:00|4398046511148|19791209300010
2012-06-26T01:20:35.997+00:00|4398046511148|24189255811081
2012-06-22T17:07:44.372+00:00|4398046511148|28587302322180
2011-06-16T20:56:11.117+00:00|2199023255557|6597069766699
2012-04-06T18:46:31.851+00:00|2199023255557|24189255811081
2012-07-25T03:43:57.239+00:00|10995116277782|26388279066664
2012-04-25T06:25:10.845+00:00|10995116277782|28587302322210
2011-09-20T20:21:38.501+00:00|14|4398046511148
2012-02-23T06:35:11.365+00:00|8796093022238|19791209300010
2012-05-26T21:12:35.336+00:00|8796093022238|24189255811081
2012-02-03T10:36:55.877+00:00|21990232555527|24189255811081
2012-07-02T10:51:45.946+00:00|16|13194139533343
2012-04-02T18:14:02.723+00:00|16|19791209300010
2012-04-02T17:49:34.209+00:00|16|26388279066664
2012-07-18T04:25:19.221+00:00|16|28587302322180
2012-08-12T06:06:00.308+00:00|26388279066664|28587302322180
2012-03-17T06:08:02.621+00:00|26388279066664|28587302322210
2012-08-02T23:34:47.986+00:00|26388279066641|26388279066664
2012-04-18T16:46:45.284+00:00|26388279066641|28587302322180
2012-05-27T09:36:37.971+00:00|10995116277761|13194139533343
2011-11-05T05:11:58.529+00:00|10995116277761|19791209300010
2012-07-14T17:54:59.094+00:00|10995116277761|28587302322210
2012-05-17T19:59:14.966+00:00|19791209300009|24189255811081
2012-08-01T04:03:28.500+00:00|19791209300009|28587302322180
2012-05-17T04:04:50.952+00:00|19791209300010|24189255811104
2012-03-19T20:01:39.431+00:00|19791209300010|24189255811121
2012-08-07T16:50:24.262+00:00|19791209300010|26388279066641
2012-07-01T12:53:49.126+00:00|19791209300010|26388279066664
2012-07-19T13:47:21.535+00:00|19791209300010|28587302322180
2012-04-27T07:34:44.374+00:00|19791209300010|28587302322196
2012-07-11T15:55:55.149+00:00|19791209300010|28587302322210
2012-03-07T04:11:23.637+00:00|6597069766699|19791209300009
2012-02-16T08:47:27.433+00:00|6597069766699|24189255811081
2012-06-29T10:06:16.262+00:00|6597069766699|24189255811121
2012-06-27T16:13:15.772+00:00|19791209299987|26388279066664
2012-01-10T07:30:05.303+00:00|15393162788877|19791209300010
2012-01-09T19:07:06.286+00:00|6597069766701|19791209300010
2012-06-22T09:25:47.222+00:00|6597069766701|28587302322210
2012-04-25T09:34:19.949+00:00|47|28587302322180
