creationDate|Post.id|Place.id
2012-07-29T00:15:11.336+00:00|1030792151040|110
2012-07-29T00:15:12.336+00:00|1030792151041|1
2012-07-29T00:15:13.336+00:00|1030792151042|1
2012-07-29T00:15:14.336+00:00|1030792151043|1
2012-07-29T00:15:15.336+00:00|1030792151044|1
2012-07-29T00:15:16.336+00:00|1030792151045|1
2012-07-29T00:15:17.336+00:00|1030792151046|1
2012-07-29T00:15:18.336+00:00|1030792151047|1
2012-07-29T00:15:19.336+00:00|1030792151048|1
2012-07-29T00:15:20.336+00:00|1030792151049|1
2012-07-29T00:15:21.336+00:00|1030792151050|1
2012-07-29T00:15:22.336+00:00|1030792151051|1
2012-07-29T00:15:23.336+00:00|1030792151052|1
2012-07-29T00:15:24.336+00:00|1030792151053|1
2012-07-29T00:15:25.336+00:00|1030792151054|1
2012-07-29T00:15:26.336+00:00|1030792151055|1
2012-07-29T00:15:27.336+00:00|1030792151056|1
2012-07-29T00:15:28.336+00:00|1030792151057|1
2012-07-29T00:15:29.336+00:00|1030792151058|23
2012-06-05T08:35:31.642+00:00|962072674323|57
2012-06-05T08:35:32.642+00:00|962072674324|1
2012-06-05T08:35:33.642+00:00|962072674325|1
2012-06-05T08:35:34.642+00:00|962072674326|1
2012-06-05T08:35:35.642+00:00|962072674327|1
2012-06-05T08:35:36.642+00:00|962072674328|1
2012-06-05T08:35:37.642+00:00|962072674329|1
2012-06-05T08:35:38.642+00:00|962072674330|1
2012-06-05T08:35:39.642+00:00|962072674331|1
2012-06-05T08:35:40.642+00:00|962072674332|1
2012-06-05T08:35:41.642+00:00|962072674333|1
2012-06-05T08:35:42.642+00:00|962072674334|1
2012-06-05T08:35:43.642+00:00|962072674335|1
2012-06-05T08:35:44.642+00:00|962072674336|101
2012-06-05T08:35:45.642+00:00|962072674337|1
2012-06-05T08:35:46.642+00:00|962072674338|1
2011-10-06T03:32:07.829+00:00|687194767395|1
2011-10-06T03:32:08.829+00:00|687194767396|1
2011-10-06T03:32:09.829+00:00|687194767397|1
2011-10-06T03:32:10.829+00:00|687194767398|1
2011-10-06T03:32:11.829+00:00|687194767399|1
2011-10-06T03:32:12.829+00:00|687194767400|1
2011-10-06T03:32:13.829+00:00|687194767401|1
2012-03-05T23:12:29.769+00:00|824633720875|1
2012-03-05T23:12:30.769+00:00|824633720876|1
2012-01-27T12:49:08.866+00:00|824633720893|1
2012-01-27T12:49:09.866+00:00|824633720894|1
2012-01-27T12:49:10.866+00:00|824633720895|1
2012-01-27T12:49:11.866+00:00|824633720896|1
2012-01-27T12:49:12.866+00:00|824633720897|1
2012-01-27T12:49:13.866+00:00|824633720898|1
2012-01-27T12:49:14.866+00:00|824633720899|1
2012-01-27T12:49:15.866+00:00|824633720900|1
2012-01-27T12:49:16.866+00:00|824633720901|1
2012-01-27T12:49:17.866+00:00|824633720902|1
2012-01-27T12:49:18.866+00:00|824633720903|1
2012-01-27T12:49:19.866+00:00|824633720904|1
2012-01-27T12:49:20.866+00:00|824633720905|1
2012-01-27T12:49:21.866+00:00|824633720906|1
2012-01-27T12:49:22.866+00:00|824633720907|1
2012-01-27T12:49:23.866+00:00|824633720908|1
2012-01-27T12:49:24.866+00:00|824633720909|1
2012-01-27T12:49:25.866+00:00|824633720910|1
2012-01-27T12:49:26.866+00:00|824633720911|1
2012-01-27T12:49:27.866+00:00|824633720912|1
2012-04-12T08:18:18.462+00:00|893353197669|1
2012-04-12T08:18:19.462+00:00|893353197670|1
2012-04-12T08:18:20.462+00:00|893353197671|1
2012-04-12T08:18:21.462+00:00|893353197672|1
2012-04-12T08:18:22.462+00:00|893353197673|1
2012-04-12T08:18:23.462+00:00|893353197674|1
2012-05-13T20:46:54.373+00:00|962072674411|1
2012-05-13T20:46:55.373+00:00|962072674412|85
2012-05-13T20:46:56.373+00:00|962072674413|1
2012-05-13T20:46:57.373+00:00|962072674414|1
2012-05-13T20:46:58.373+00:00|962072674415|1
2012-05-13T20:46:59.373+00:00|962072674416|1
2012-05-13T20:47:00.373+00:00|962072674417|1
2012-05-13T20:47:01.373+00:00|962072674418|7
2012-05-13T20:47:02.373+00:00|962072674419|1
2012-05-13T20:47:03.373+00:00|962072674420|1
2012-05-13T20:47:04.373+00:00|962072674421|1
2012-05-13T20:47:05.373+00:00|962072674422|1
2012-05-13T20:47:06.373+00:00|962072674423|1
2012-05-13T20:47:07.373+00:00|962072674424|1
2012-05-13T20:47:08.373+00:00|962072674425|1
2012-05-13T20:47:09.373+00:00|962072674426|1
2012-04-05T02:04:15.418+00:00|893353197711|1
2012-04-05T02:04:16.418+00:00|893353197712|1
2012-04-05T02:04:17.418+00:00|893353197713|1
2012-04-05T02:04:18.418+00:00|893353197714|1
2012-04-05T02:04:19.418+00:00|893353197715|1
2012-04-05T02:04:20.418+00:00|893353197716|1
2012-04-05T02:04:21.418+00:00|893353197717|1
2012-04-05T02:04:22.418+00:00|893353197718|1
2012-04-05T02:04:23.418+00:00|893353197719|1
2012-04-05T02:04:24.418+00:00|893353197720|1
2012-04-05T02:04:25.418+00:00|893353197721|1
2012-04-05T02:04:26.418+00:00|893353197722|66
2012-04-05T02:04:27.418+00:00|893353197723|1
2012-04-05T02:04:28.418+00:00|893353197724|4
2012-04-05T02:04:29.418+00:00|893353197725|1
2012-04-05T02:04:30.418+00:00|893353197726|1
2012-04-05T02:04:31.418+00:00|893353197727|1
2012-04-05T02:04:32.418+00:00|893353197728|1
2012-04-05T02:04:33.418+00:00|893353197729|1
2011-10-13T00:27:07.087+00:00|687194767522|92
2010-07-12T19:40:07.598+00:00|206158430371|92
2010-07-12T19:40:08.598+00:00|206158430372|92
2010-07-12T19:40:09.598+00:00|206158430373|92
2010-07-12T19:40:10.598+00:00|206158430374|92
2010-07-12T19:40:11.598+00:00|206158430375|92
2010-07-12T19:40:12.598+00:00|206158430376|92
