creationDate|id|imageFile|locationIP|browserUsed|language|content|length
2012-07-29T00:15:11.336+00:00|1030792151040|photo1030792151040.jpg|41.78.114.237|Internet Explorer|||0
2012-07-29T00:15:12.336+00:00|1030792151041|photo1030792151041.jpg|27.131.221.93|Internet Explorer|||0
2012-07-29T00:15:13.336+00:00|1030792151042|photo1030792151042.jpg|27.131.221.93|Internet Explorer|||0
2012-07-29T00:15:14.336+00:00|1030792151043|photo1030792151043.jpg|27.131.221.93|Internet Explorer|||0
2012-07-29T00:15:15.336+00:00|1030792151044|photo1030792151044.jpg|27.131.221.93|Internet Explorer|||0
2012-07-29T00:15:16.336+00:00|1030792151045|photo1030792151045.jpg|27.131.221.93|Internet Explorer|||0
2012-07-29T00:15:17.336+00:00|1030792151046|photo1030792151046.jpg|27.131.221.93|Internet Explorer|||0
2012-07-29T00:15:18.336+00:00|1030792151047|photo1030792151047.jpg|27.131.221.93|Internet Explorer|||0
2012-07-29T00:15:19.336+00:00|1030792151048|photo1030792151048.jpg|27.131.221.93|Internet Explorer|||0
2012-07-29T00:15:20.336+00:00|1030792151049|photo1030792151049.jpg|27.131.221.93|Internet Explorer|||0
2012-07-29T00:15:21.336+00:00|1030792151050|photo1030792151050.jpg|27.131.221.93|Internet Explorer|||0
2012-07-29T00:15:22.336+00:00|1030792151051|photo1030792151051.jpg|27.131.221.93|Internet Explorer|||0
2012-07-29T00:15:23.336+00:00|1030792151052|photo1030792151052.jpg|27.131.221.93|Internet Explorer|||0
2012-07-29T00:15:24.336+00:00|1030792151053|photo1030792151053.jpg|27.131.221.93|Internet Explorer|||0
2012-07-29T00:15:25.336+00:00|1030792151054|photo1030792151054.jpg|27.131.221.93|Internet Explorer|||0
2012-07-29T00:15:26.336+00:00|1030792151055|photo1030792151055.jpg|27.131.221.93|Internet Explorer|||0
2012-07-29T00:15:27.336+00:00|1030792151056|photo1030792151056.jpg|27.131.221.93|Internet Explorer|||0
2012-07-29T00:15:28.336+00:00|1030792151057|photo1030792151057.jpg|27.131.221.93|Internet Explorer|||0
2012-07-29T00:15:29.336+00:00|1030792151058|photo1030792151058.jpg|193.41.40.248|Internet Explorer|||0
2012-06-05T08:35:31.642+00:00|962072674323|photo962072674323.jpg|24.0.200.54|Internet Explorer|||0
2012-06-05T08:35:32.642+00:00|962072674324|photo962072674324.jpg|27.131.221.93|Internet Explorer|||0
2012-06-05T08:35:33.642+00:00|962072674325|photo962072674325.jpg|27.131.221.93|Internet Explorer|||0
2012-06-05T08:35:34.642+00:00|962072674326|photo962072674326.jpg|27.131.221.93|Internet Explorer|||0
2012-06-05T08:35:35.642+00:00|962072674327|photo962072674327.jpg|27.131.221.93|Internet Explorer|||0
2012-06-05T08:35:36.642+00:00|962072674328|photo962072674328.jpg|27.131.221.93|Internet Explorer|||0
2012-06-05T08:35:37.642+00:00|962072674329|photo962072674329.jpg|27.131.221.93|Internet Explorer|||0
2012-06-05T08:35:38.642+00:00|962072674330|photo962072674330.jpg|27.131.221.93|Internet Explorer|||0
2012-06-05T08:35:39.642+00:00|962072674331|photo962072674331.jpg|27.131.221.93|Internet Explorer|||0
2012-06-05T08:35:40.642+00:00|962072674332|photo962072674332.jpg|27.131.221.93|Internet Explorer|||0
2012-06-05T08:35:41.642+00:00|962072674333|photo962072674333.jpg|27.131.221.93|Internet Explorer|||0
