id:ID(Place)|:LABEL
0|Country
1|Country
2|Country
3|Country
4|Country
5|Country
6|Country
7|Country
8|Country
9|Country
10|Country
11|Country
12|Country
13|Country
14|Country
15|Country
16|Country
17|Country
18|Country
19|Country
20|Country
21|Country
22|Country
23|Country
24|Country
25|Country
26|Country
27|Country
28|Country
29|Country
30|Country
31|Country
32|Country
33|Country
34|Country
35|Country
36|Country
37|Country
38|Country
39|Country
40|Country
41|Country
42|Country
43|Country
44|Country
45|Country
46|Country
47|Country
48|Country
49|Country
50|Country
51|Country
52|Country
53|Country
54|Country
55|Country
56|Country
57|Country
58|Country
59|Country
60|Country
61|Country
62|Country
63|Country
64|Country
65|Country
66|Country
67|Country
68|Country
69|Country
70|Country
71|Country
72|Country
73|Country
74|Country
75|Country
76|Country
77|Country
78|Country
79|Country
80|Country
81|Country
82|Country
83|Country
84|Country
85|Country
86|Country
87|Country
88|Country
89|Country
90|Country
91|Country
92|Country
93|Country
94|Country
95|Country
96|Country
97|Country
98|Country
99|Country
100|Country
101|Country
102|Country
103|Country
104|Country
105|Country
106|Country
107|Country
108|Country
109|Country
110|Country
111|City
112|City
113|City
114|City
115|City
116|City
117|City
118|City
119|City
120|City
121|City
122|City
123|City
124|City
125|City
126|City
127|City
128|City
129|City
130|City
131|City
132|City
133|City
134|City
135|City
136|City
137|City
138|City
139|City
140|City
141|City
142|City
143|City
144|City
145|City
146|City
147|City
148|City
149|City
150|City
151|City
152|City
153|City
154|City
155|City
156|City
157|City
158|City
159|City
160|City
161|City
162|City
163|City
164|City
165|City
166|City
167|City
168|City
169|City
170|City
171|City
172|City
173|City
174|City
175|City
176|City
177|City
178|City
179|City
180|City
181|City
182|City
183|City
184|City
185|City
186|City
187|City
188|City
189|City
190|City
191|City
192|City
193|City
194|City
195|City
196|City
197|City
198|City
199|City
200|City
201|City
202|City
203|City
204|City
205|City
206|City
207|City
208|City
209|City
210|City
211|City
212|City
213|City
214|City
215|City
216|City
217|City
218|City
219|City
220|City
221|City
222|City
223|City
224|City
225|City
226|City
227|City
228|City
229|City
230|City
231|City
232|City
233|City
234|City
235|City
236|City
237|City
238|City
239|City
240|City
241|City
242|City
243|City
244|City
245|City
246|City
247|City
248|City
249|City
250|City
251|City
252|City
253|City
254|City
255|City
256|City
257|City
258|City
259|City
260|City
261|City
262|City
263|City
264|City
265|City
266|City
267|City
