id:ID(Organisation)|:LABEL
0|Company
1|Company
2|Company
3|Company
4|Company
5|Company
6|Company
7|Company
8|Company
9|Company
10|Company
11|Company
12|Company
13|Company
14|Company
15|Company
16|Company
17|Company
18|Company
19|Company
20|Company
21|Company
22|Company
23|Company
24|Company
25|Company
26|Company
27|Company
28|Company
29|Company
30|Company
31|Company
32|Company
33|Company
34|Company
35|Company
36|Company
37|Company
38|Company
39|Company
40|Company
41|Company
42|Company
43|Company
44|Company
45|Company
46|Company
47|Company
48|Company
49|Company
50|Company
51|Company
52|Company
53|Company
54|Company
55|Company
56|Company
57|Company
58|Company
59|Company
60|Company
61|Company
62|Company
63|Company
64|Company
65|Company
66|Company
67|Company
68|Company
69|Company
70|Company
71|Company
72|Company
73|Company
74|Company
75|Company
76|Company
77|Company
78|Company
79|Company
80|Company
81|Company
82|Company
83|Company
84|Company
85|Company
86|Company
87|Company
88|Company
89|Company
90|Company
91|Company
92|Company
93|Company
94|Company
95|Company
96|Company
97|Company
98|Company
99|Company
100|Company
101|Company
102|Company
103|Company
104|Company
105|Company
106|Company
107|Company
108|Company
109|Company
110|Company
111|Company
112|Company
113|Company
114|Company
115|Company
116|Company
117|Company
118|Company
119|Company
120|Company
121|Company
122|Company
123|Company
124|Company
125|Company
126|Company
127|Company
128|Company
129|Company
130|Company
131|Company
132|Company
133|Company
134|Company
135|Company
136|Company
137|Company
138|Company
139|Company
140|Company
141|Company
142|Company
143|Company
144|Company
145|Company
146|Company
147|Company
148|Company
149|Company
150|Company
151|Company
152|Company
153|Company
154|Company
155|Company
156|Company
157|Company
158|Company
159|Company
160|Company
161|Company
162|Company
163|Company
164|Company
165|Company
166|Company
167|Company
168|Company
169|Company
170|Company
171|Company
172|Company
173|Company
174|Company
175|Company
176|Company
177|Company
178|Company
179|Company
180|Company
181|Company
182|Company
183|Company
184|Company
185|Company
186|Company
187|Company
188|Company
189|Company
190|Company
191|Company
192|Company
193|Company
194|Company
195|Company
196|Company
197|Company
198|Company
199|Company
200|Company
201|Company
202|Company
203|Company
204|Company
205|Company
206|Company
207|Company
208|Company
209|Company
210|Company
211|Company
212|Company
213|Company
214|Company
215|Company
216|Company
217|Company
218|Company
219|Company
220|Company
221|Company
222|Company
223|Company
224|Company
225|Company
226|Company
227|Company
228|Company
229|Company
230|Company
231|Company
232|Company
233|Company
234|Company
235|Company
236|Company
237|Company
238|Company
239|Company
240|Company
241|Company
242|Company
243|Company
244|Company
245|Company
246|Company
247|Company
248|Company
249|Company
250|Company
251|Company
252|Company
253|Company
254|Company
255|Company
256|Company
257|Company
258|Company
259|Company
260|Company
261|Company
262|Company
263|Company
264|Company
265|Company
266|Company
267|Company
268|Company
269|Company
270|Company
271|Company
272|Company
273|Company
274|Company
275|Company
276|Company
277|Company
278|Company
279|Company
280|Company
281|Company
282|Company
283|Company
284|Company
285|Company
286|Company
287|Company
288|Company
289|Company
290|Company
291|Company
292|Company
293|Company
294|Company
295|Company
296|Company
297|Company
298|Company
299|Company
300|Company
301|Company
302|Company
303|Company
304|Company
305|Company
306|Company
307|Company
308|Company
309|Company
310|Company
311|Company
312|Company
313|Company
314|Company
315|Company
316|Company
317|Company
318|Company
319|Company
320|Company
321|Company
322|Company
323|Company
324|Company
325|Company
326|Company
327|Company
328|Company
329|Company
330|Company
331|Company
332|Company
333|Company
334|Company
335|Company
336|Company
337|Company
338|Company
339|Company
340|Company
341|Company
342|Company
343|Company
344|Company
345|Company
346|Company
347|Company
348|Company
349|Company
350|Company
351|Company
352|Company
353|Company
354|Company
355|Company
356|Company
357|Company
358|Company
359|Company
360|Company
361|Company
362|Company
363|Company
364|Company
365|Company
366|Company
367|Company
368|Company
369|Company
370|Company
371|Company
372|Company
373|Company
374|Company
375|Company
376|Company
377|Company
378|Company
379|Company
380|Company
381|Company
382|Company
383|Company
384|Company
385|Company
386|Company
387|Company
388|Company
389|Company
390|Company
391|Company
392|Company
393|Company
394|Company
395|Company
396|Company
397|Company
398|Company
399|Company
400|Company
401|Company
402|Company
403|Company
404|Company
405|Company
406|Company
407|Company
408|Company
409|Company
410|Company
411|Company
412|Company
413|Company
414|Company
415|Company
416|Company
417|Company
418|Company
419|Company
420|Company
421|Company
422|Company
423|Company
424|Company
425|Company
426|Company
427|Company
428|Company
429|Company
430|Company
431|Company
432|Company
433|Company
434|Company
435|Company
436|Company
437|Company
438|Company
439|Company
440|Company
441|Company
442|Company
443|Company
444|Company
445|Company
446|Company
447|Company
448|Company
449|Company
450|Company
451|Company
452|Company
453|Company
454|Company
455|Company
456|Company
457|Company
458|Company
459|Company
460|Company
461|Company
462|Company
463|Company
464|Company
465|Company
466|Company
467|Company
468|Company
469|Company
470|Company
471|Company
472|Company
473|Company
474|Company
475|Company
476|Company
477|Company
478|Company
479|Company
480|Company
481|Company
482|Company
483|Company
484|Company
485|Company
486|Company
487|Company
488|Company
489|Company
490|Company
491|Company
492|Company
493|Company
494|Company
495|Company
496|Company
497|Company
498|Company
499|Company
500|Company
501|Company
502|Company
503|Company
504|Company
505|Company
506|Company
507|Company
508|Company
509|Company
510|Company
511|Company
512|Company
513|Company
514|Company
515|Company
516|Company
517|Company
518|Company
519|Company
520|Company
521|Company
522|Company
523|Company
524|Company
525|Company
526|Company
527|Company
528|Company
529|Company
530|Company
531|Company
532|Company
533|Company
534|Company
535|Company
536|Company
537|Company
538|Company
539|Company
540|Company
541|Company
542|Company
543|Company
544|Company
545|Company
546|Company
547|Company
548|Company
549|Company
550|Company
551|Company
552|Company
553|Company
554|Company
555|Company
556|Company
557|Company
558|Company
559|Company
560|Company
561|Company
562|Company
563|Company
