file,headers
Forum_hasMember_Person.csv,ForumId|PersonId
Company_isLocatedIn_Country.csv,CompanyId|CountryId
Forum_containerOf_Post.csv,ForumId|PostId
Message_hasCreator_Person.csv,MessageId|PersonId
Comment_isLocatedIn_Country.csv,CommentId|CountryId
City_isPartOf_Country.csv,CityId|CountryId
Person_hasInterest_Tag.csv,PersonId|TagId
Person_studyAt_University.csv,PersonId|UniversityId
Message_isLocatedIn_Country.csv,MessageId|CountryId
Message.csv,id
Comment_replyOf_Comment.csv,Comment1Id|Comment2Id
Comment_hasTag_Tag.csv,CommentId|TagId
Forum_hasTag_Tag.csv,ForumId|TagId
TagClass_isSubclassOf_TagClass.csv,TagClass1Id|TagClass2Id
Comment_replyOf_Post.csv,CommentId|PostId
Country_isPartOf_Continent.csv,CountryId|ContinentId
Company.csv,id
Post_hasCreator_Person.csv,PostId|PersonId
Person_isLocatedIn_City.csv,PersonId|CityId
Message_replyOf_Message.csv,Comment1Id|Comment2Id
Comment.csv,id
TagClass.csv,id
Person_likes_Post.csv,PersonId|PostId
University.csv,id
Message_hasTag_Tag.csv,MessageId|TagId
Person_likes_Message.csv,PersonId|MessageId
Tag.csv,id
Tag_hasType_TagClass.csv,TagId|TagClassId
City.csv,id
Country.csv,id
Comment_hasCreator_Person.csv,CommentId|PersonId
Post_hasTag_Tag.csv,PostId|TagId
Forum_containerOf_Message.csv,ForumId|PostId
Person.csv,id
Person_likes_Comment.csv,PersonId|CommentId
Forum.csv,id
Forum_hasModerator_Person.csv,ForumId|PersonId
Post.csv,id
Person_workAt_Company.csv,PersonId|CompanyId
Person_knows_Person.csv,Person1Id|Person2Id
University_isLocatedIn_City.csv,UniversityId|CityId
Post_isLocatedIn_Country.csv,PostId|CountryId
Continent.csv,id
