:START_ID(Forum)|:END_ID(Tag)
687194767360|6
687194767360|587
687194767360|588
687194767360|782
687194767360|1153
687194767360|1173
687194767360|1179
687194767360|1180
687194767360|1187
687194767360|1193
687194767360|1206
687194767360|1454
687194767360|1545
687194767360|1760
687194767360|1762
687194767360|1863
687194767360|1940
687194767360|2031
687194767360|2048
687194767360|2067
687194767360|5132
687194767360|6413
687194767360|6945
687194767360|9063
687194767360|9479
687194767360|11250
687194767360|11379
962072674305|5132
1030792151042|1187
1099511627779|1863
824633720836|1180
893353197573|1206
962072674310|2067
893353197575|11250
1099511627784|1545
893353197577|1179
1099511627786|588
962072674315|11379
1168231104524|2048
824633720845|1762
893353197582|1762
687194767375|2048
68719476752|3
68719476752|1189
68719476752|1676
68719476752|2785
68719476752|2806
68719476752|2931
68719476752|3072
68719476752|3114
68719476752|5736
68719476752|5753
68719476752|8143
1030792151057|138
1030792151057|140
1030792151057|196
1030792151057|284
1030792151057|523
1030792151057|545
1030792151057|581
1030792151057|590
1030792151057|777
1030792151057|785
1030792151057|790
1030792151057|1155
1030792151057|1178
1030792151057|1180
1030792151057|1188
1030792151057|1194
1030792151057|1200
1030792151057|1771
1030792151057|1908
1030792151057|1984
1030792151057|1991
1030792151057|2057
1030792151057|2089
1030792151057|2820
1030792151057|2828
1030792151057|2838
1030792151057|2991
1030792151057|3047
1030792151057|3053
1030792151057|3056
1030792151057|3060
1030792151057|3061
1030792151057|3083
1030792151057|5964
1030792151057|6409
1030792151057|6430
1030792151057|7694
1030792151057|9310
1030792151057|10368
1030792151057|15558
137438953490|60
19|4843
549755813908|4843
824633720853|4843
755914244118|4843
618475290647|4843
1030792151064|4843
481036337177|4843
137438953498|4843
343597383707|4843
343597383708|4843
137438953501|4843
137438953502|4843
481036337183|4843
412316860448|4843
687194767393|4843
206158430242|4843
618475290659|4843
206158430244|4843
206158430245|4843
68719476774|4843
755914244135|4843
824633720872|4843
893353197609|4843
962072674346|4843
412316860459|4843
68719476780|4843
893353197613|4843
687194767406|4843
687194767407|4843
481036337200|4843
343597383729|4843
618475290674|4843
137438953523|4843
618475290676|4843
755914244149|4843
1168231104566|4843
893353197623|139
893353197623|294
893353197623|458
893353197623|572
893353197623|590
893353197623|788
893353197623|974
893353197623|1184
893353197623|1401
893353197623|1680
893353197623|1984
893353197623|1985
893353197623|1991
893353197623|1992
893353197623|1994
893353197623|2006
893353197623|2017
893353197623|2023
893353197623|2052
893353197623|2056
893353197623|2058
893353197623|2078
893353197623|2777
893353197623|2783
893353197623|2788
893353197623|2796
893353197623|2797
893353197623|2812
893353197623|2827
893353197623|2836
893353197623|2845
893353197623|2859
893353197623|2872
893353197623|2880
893353197623|2929
893353197623|2943
893353197623|2976
893353197623|3011
893353197623|3022
893353197623|3064
893353197623|3087
893353197623|5163
893353197623|5170
893353197623|5193
893353197623|5699
893353197623|6405
893353197623|6993
893353197623|6999
893353197623|7001
893353197623|7010
893353197623|7522
893353197623|7526
893353197623|7564
893353197623|7570
893353197623|9479
893353197623|9496
893353197623|9760
893353197623|9939
893353197623|10080
893353197623|10322
893353197623|10991
893353197623|11408
893353197623|11557
893353197623|11609
893353197623|12273
1168231104568|3087
1030792151097|139
1099511627834|5163
962072674363|458
1099511627836|2017
962072674365|2796
893353197630|2836
962072674367|2023
1099511627840|2976
412316860481|284
412316860481|785
412316860481|1375
412316860481|1991
412316860481|2007
412316860481|2782
412316860481|2806
412316860481|2809
412316860481|2814
412316860481|2825
412316860481|2848
412316860481|2869
412316860481|2884
412316860481|2899
412316860481|2951
412316860481|2979
412316860481|2987
412316860481|2989
412316860481|3018
412316860481|3036
412316860481|3069
412316860481|3089
412316860481|3103
412316860481|3108
412316860481|5178
412316860481|5417
412316860481|5456
412316860481|5598
412316860481|5673
412316860481|5766
412316860481|5794
412316860481|5886
412316860481|5947
412316860481|6050
412316860481|6361
412316860481|6363
412316860481|6440
412316860481|6740
412316860481|6817
412316860481|6931
412316860481|6952
412316860481|6962
412316860481|7486
412316860481|7512
412316860481|7522
412316860481|7572
412316860481|8135
412316860481|8138
412316860481|8298
412316860481|8342
412316860481|9203
412316860481|9433
412316860481|10241
412316860481|11235
412316860481|11236
412316860481|11919
412316860481|12444
412316860481|12646
412316860481|12976
412316860481|13163
412316860481|13775
412316860481|14353
412316860481|15036
481036337218|6740
549755813955|3108
1168231104580|7512
755914244165|5886
893353197638|6931
