:START_ID(Person)|:END_ID(Person)
19791209299968|24189255811081
24189255811081|24189255811109
24189255811081|26388279066658
24189255811081|26388279066668
24189255811081|28587302322180
24189255811081|28587302322196
24189255811081|35184372088834
8796093022249|10995116277782
8796093022249|13194139533355
8796093022249|19791209299968
8796093022249|24189255811081
8796093022249|26388279066658
2199023255594|8796093022244
2199023255594|10995116277761
2199023255594|13194139533342
2199023255594|13194139533352
2199023255594|15393162788877
2199023255594|17592186044461
2199023255594|24189255811081
2199023255594|26388279066641
2199023255594|26388279066658
2199023255594|26388279066668
2199023255594|28587302322180
2199023255594|28587302322196
2199023255594|30786325577740
2199023255594|35184372088850
2199023255594|35184372088856
2199023255573|13194139533355
2199023255573|24189255811081
13194139533342|24189255811081
26388279066655|28587302322180
26388279066655|35184372088856
32|2199023255594
32|13194139533352
32|17592186044461
32|26388279066658
26388279066632|28587302322204
26388279066658|28587302322196
26388279066658|30786325577740
26388279066658|35184372088850
26388279066658|35184372088856
28587302322180|28587302322204
28587302322180|28587302322223
28587302322180|30786325577731
28587302322180|32985348833329
28587302322180|35184372088856
28587302322204|35184372088850
8796093022237|24189255811081
8796093022237|24189255811109
8796093022237|35184372088856
17592186044461|26388279066658
2199023255557|8796093022237
2199023255557|13194139533355
2199023255557|24189255811081
10995116277782|26388279066641
10995116277782|26388279066658
10995116277782|28587302322180
10995116277782|28587302322204
10995116277782|35184372088856
14|10995116277782
14|24189255811081
14|26388279066668
21990232555527|24189255811081
16|2199023255594
16|26388279066655
16|28587302322180
16|28587302322204
13194139533352|19791209299987
13194139533352|26388279066641
13194139533352|26388279066658
13194139533352|28587302322180
13194139533352|28587302322196
13194139533352|28587302322204
13194139533352|35184372088850
26388279066641|28587302322180
26388279066641|28587302322204
10995116277761|13194139533352
10995116277761|17592186044443
10995116277761|26388279066655
10995116277761|26388279066658
17592186044443|28587302322180
13194139533355|24189255811081
13194139533355|32985348833329
8796093022244|13194139533355
26388279066668|28587302322180
26388279066668|28587302322204
6597069766702|26388279066658
28587302322191|35184372088856
